name,latitude,longitude,district,neighborhood,district_id,neighborhood_id,bakery_type,is_chain,brand_name,street,house_number,postal_code,opening_hours,website,data_source,source_ids
Schäfer's,52.5037614,13.3077754,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Schäfer's,Wilmersdorfer Straße,,10629,Mo-Fr 07:00-18:00; Sa 07:00-16:00; Su 08:00-16:00,,OSM,node/639161642
Backfee,52.5081266,13.4973197,Lichtenberg,Rummelsburg,lichtenberg,rummelsburg,artisanal,False,,,,,Mo-Fr 05:30-18:30; Sa 05:30-18:00; Su 06:00-18:00; PH 06:00-18:00,,OSM,node/639631275
der Bäcker Feihl,52.5497714,13.3878895,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,Badstraße,4,13357,,https://baecker-feihl.de/,OSM,node/646593040
Stern Bäckerei,52.5541978,13.392388,Mitte,Gesundbrunnen,mitte,gesundbrunnen,artisanal,False,,,,,,,OSM,node/646593064
Steinecke,52.499547,13.4787736,Lichtenberg,Rummelsburg,lichtenberg,rummelsburg,chain,True,Steinecke,,,,Mo-Fr 07:00-18:00; Sa 07:00-12:00,,OSM,node/649032162
Atas Profi Back,52.5000629,13.3073797,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,,,,,,OSM,node/650788115
Erster Wiener,52.5041093,13.3299493,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,chain,True,Erster Wiener,,,,Mo-Fr 06:00-20:00; Sa 07:00-20:00; Su 08:00-15:00,,OSM,node/651949238
Bäckerei Backfee,52.4233087,13.4361694,Neukölln,Buckow,neukölln,buckow,artisanal,False,,Alt-Buckow,5,12349,"Mo-Fr 06:00-18:00; Sa,Su 06:00-17:00",,OSM,node/652049333
Schäfer's Café Buckow,52.423957,13.4366283,Neukölln,Buckow,neukölln,buckow,chain,True,Schäfer's,,,,Mo-Fr 06:00-18:00; Sa 06:00-16:00; Su 07:00-16:00,,OSM,node/652049359
Back-Shop,52.4479819,13.4496601,Neukölln,Britz,neukölln,britz,chain,True,Fehrid Caliskan,,,,Mo-Fr 06:00-15:00; Sa 06:00-13:00; Su 07:00-13:00,,OSM,node/653657249
Schäfer's,52.4227396,13.3706621,Tempelhof-Schöneberg,Marienfelde,tempelhof-schöneberg,marienfelde,chain,True,Schäfer's,,,,Mo-Fr 06:30-17:00; Sa 07:00-13:00; Su 08:00-13:00,,OSM,node/659034042
My Bakery,52.5107642,13.3052281,Charlottenburg-Wilmersdorf,Charlottenburg,charlottenburg-wilmersdorf,charlottenburg,artisanal,False,,Wilmersdorfer Straße,41,10627,Mo-Fr 05:30-19:00; Sa 06:00-19:00; Su 08:00-16:00,,OSM,node/661126953
