public_artwork_id,artwork_name,artwork_type,artist_name,street,neighbourhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
12959527130,hänschenklein,sculpture,"wurzer, poertzel, hertram",puschkinallee,0901,11009009,12435,stone,1972,,,,52.4934737,13.4583354
12959527131,jugend,sculpture,jorgos iliopolos,puschkinallee,0901,11009009,12435,limestone,1975,,,,52.4933778,13.4558834
12959574525,,,,ziegrastraße,0801,11008008,12057,,,,,,52.4739378,13.4582119
12961510591,,sculpture,dietrich klakow,königstraße,0604,11006006,14163,steel,,,Q115769286,file:stele königstr 5 (zehld) &dietrich klakow&1971.jpg,52.4341777,13.2541702
12961570196,,sculpture,dietrich klakow,lauenburger straße,0601,11006006,12169,steel,,file:skulptur lauenburger str 110 (stegl) biochemischer vorgang&dietrich klakow&1975.jpg,Q115769391,category:biochemischer vorgang (dietrich klakow),52.4529758,13.3360164
12969155817,,sculpture,,altonaer straße,0104,11001001,10557,stone,,,,,52.5152164,13.3467276
12985532201,drehende kugeln,sculpture,gerhard mantz,hofzeichendamm,0305,11003003,13125,steel,1996,file:skulptur hofzeichendamm (karow) drehende kugeln&gerhard mantz&19962.jpg,Q118187976,category:drehende kugeln (gerhard mantz),52.6141783,13.4897903
12985740102,gläsernes kunstwerk,,,hausvogteiplatz,0101,11001001,10117,,,,,,52.5130846,13.3959962
12994925292,,,,versammlungsplatz,0802,11008008,12349,,,,,,52.4274391,13.4288236
12997686755,,mural,,bernburger straße,0202,11002002,10963,,,,,,52.504716,13.3805413
13009679241,,,,laufstrecke 1100m,0102,11001001,10557,,,,,,52.5284717,13.3571379
13011270853,,installation,,bornsdorfer straße,0801,11008008,12053,,,,,,52.4750449,13.4373692
13013882789,,installation,,amtsstraße,0910,11009009,12555,brick,,,,,52.4441059,13.5788814
13021631454,,bust,,arnimallee,0605,11006006,14195,stone,,,,,52.4565025,13.2986071
13021631455,,bust,,arnimallee,0605,11006006,14195,stone,,,,,52.456214,13.2986549
13026093472,,sculpture,,stralauer allee,0201,11002002,10245,,,,,,52.5024592,13.4489721
13031018027,,statue,,nördlicher uferweg,0607,11006006,14109,stone,,,,,52.430995,13.1200996
13031018028,,,,nördlicher uferweg,0607,11006006,14109,,,,,,52.430827,13.1197062
13033912274,,statue,,karlplatz,0101,11001001,10117,,,,,,52.5226847,13.3793766
13039637749,pm 20,mural,rabi,bötzowstraße,0301,11003003,10407,,2023,,Q135527852,file:mural one wall rabi bötzowstraße 53 berlin-prenzlauer berg.jpg,52.5339852,13.4368842
13042902057,hockendes mädchen,statue,marguerite blume-cárdenas,hauptweg,0301,11003003,10407,sandstone,,file:skulptur kniprodestr 62 (prenz) hockendes mädchen&marguerite blume-cardenas&1978.jpg,Q110078121,category:hockendes mädchen (marguérite blume-cardenàs),52.5412927,13.4565767
13049087633,rollerkinder,statue,stephan horota,gustav-adolf-straße,0302,11003003,13086,bronze,,file:denkmal hamburger platz (weiß) rollerkinder.jpg,Q110997681,category:rollerkinder by stefan horota (berlin),52.5559046,13.4392045
13057790219,triton,statue,hans schellhorn,große seestraße,0302,11003003,13086,stone,1912,file:uferterrasse mit tritonen im park am weißen see in berlin-weißensee 0192.jpg,Q117306789,category:zwei tritonen (hans schellhorn),52.5553744,13.4619645
13057790220,triton,statue,hans schellhorn,große seestraße,0302,11003003,13086,stone,1912,file:uferterrasse mit tritonen im park am weißen see in berlin-weißensee 0190.jpg,Q117306789,category:zwei tritonen (hans schellhorn),52.5553111,13.461759
13057911045,,statue,,große seestraße,0302,11003003,13086,,,file:skulptur robben spielplatz park am weißen see berlin-weißensee 01.jpg,,category:two seals at park am weißen see (berlin-weißensee),52.5555628,13.4616003
13057911046,,statue,,große seestraße,0302,11003003,13086,,,file:skulptur robben spielplatz park am weißen see berlin-weißensee 03.jpg,,category:two seals at park am weißen see (berlin-weißensee),52.5555386,13.4615614
13059587929,,mural,gertraude pohl,oderbruchstraße,0301,11003003,10407,,1981,,Q135678430,file:wandmalerei gertraude pohl oderbruchstraße 5 berlin-prenzlauer berg.jpg,52.5299367,13.4607198
13059633032,,sculpture,,dammweg,0902,11009009,12437,,,,,,52.4811021,13.4890471
13059635070,,sculpture,,dammweg,0902,11009009,12437,,,,,,52.4812479,13.4895951
13062122234,affen im dschungel,sculpture,astrid dannegger,allee der kosmonauten,1001,11010010,12681,,1981-07-01,file:relief allee der kosmonauten 147 (marza) affen im dschungel&astrid dannegger&1981.jpg,Q108546107,category:affen im dschungel (astrid dannegger),52.5332214,13.5486858
13063151638,,land_art,,klara-weyl-straße,1103,11011011,10365,,,,,,52.5215933,13.5064947
13063511601,,sculpture,,alte jakobstraße,0202,11002002,10969,,,,,,52.503786,13.3988075
13070823575,sonnenuhr,installation,unknown,platz am spreetunnel,0901,11009009,12435,rock; stainless steel,1970,,,,52.4887587,13.4757895
13074073208,graukraniche,statue,gottfried kohl,enckevortweg,1101,11011011,10319,,1972,,,,52.5026162,13.5271485
13074073209,zahnspinnerraupe,statue,klaus tilke,alfred-kowalke-straße,1101,11011011,10315,terracotta,196§,,,,52.5047567,13.5284534
13074430512,adam,statue,walter lerche,am tierpark,1101,11011011,10319,sandstone,1955,,,,52.504501,13.5241657
