id,district_id,center_name,latitude,longitude,neighborhood,district,neighborhood_id,data_source
5143588136,11003003,Litus Novum,52.5208577,13.4662072,Prenzlauer Berg,Pankow,0301,OSM_LOR
1586545425,11006006,per Zukunft,52.462375,13.3215407,Steglitz,Steglitz-Zehlendorf,0601,OSM_LOR
451593739,11004004,Mein Ass,52.4851003,13.3206972,Wilmersdorf,Charlottenburg-Wilmersdorf,0402,OSM_LOR
2225347558,11004004,Job-Point,52.5077626,13.3079684,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2051319665,11008008,TSP Trucker Service Personalleasing GmbH,52.4511321,13.4381021,Britz,Neukölln,0802,OSM_LOR
6128105752,11008008,Selbstinformationseinrichtung,52.4788379,13.4275433,Neukölln,Neukölln,0801,OSM_LOR
1039274589,11008008,Tagesjobvermittlung,52.478956,13.4278911,Neukölln,Neukölln,0801,OSM_LOR
9234048244,11004004,extra Team,52.507869,13.3246286,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
3748977231,11004004,Berliner JobCoach,52.5182521,13.3181861,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
1101041415,11002002,La Strada Doells Schauspielagentur,52.4897266,13.3833236,Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
8950307528,11002002,Agentur Wendel,52.5066406,13.3916376,Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
744442638,11004004,Fischer & Partner,52.5082941,13.3231333,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
2579633751,11002002,Templex,52.5154679,13.4549703,Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
5057348829,11001001,Agentur Neidig,52.5301587,13.3406314,Moabit,Mitte,0102,OSM_LOR
9462705127,11001001,Players Agentur Management,52.525917,13.4007908,Mitte,Mitte,0101,OSM_LOR
7596756318,11004004,Fitz+Skoglund Agents,52.5066774,13.322114,Charlottenburg,Charlottenburg-Wilmersdorf,0401,OSM_LOR
7211656755,11001001,Agentur Schlag,52.5149233,13.3371231,Hansaviertel,Mitte,0103,OSM_LOR
9992346766,11002002,ZAV-Künstlervermittlung Berlin,52.5059928,13.3908956,Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
3608024519,11001001,recrew,52.5200629,13.3934256,Mitte,Mitte,0101,OSM_LOR
2494043099,11002002,Personalservice Fliegenschmidt,52.5185382,13.4328279,Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
3137117730,11001001,BSM Personalmanagement,52.5356149,13.3575242,Moabit,Mitte,0102,OSM_LOR
4738066235,11007007,Jobcenter Berlin Tempelhof-Schöneberg,52.453775345631065,13.379105348796859,Tempelhof,Tempelhof-Schöneberg,0703,OSM_LOR
5878635903,11002002,Agentur für Arbeit,52.50546523172733,13.391688478259818,Kreuzberg,Friedrichshain-Kreuzberg,0202,OSM_LOR
1675953474,11008008,Agentur für Arbeit,52.4696729815217,13.464542671225956,Neukölln,Neukölln,0801,OSM_LOR
9596310101,11003003,Agentur für Arbeit,52.5347616955284,13.451135029390699,Prenzlauer Berg,Pankow,0301,OSM_LOR
3773718987,11010010,Agentur für Arbeit,52.53860358238496,13.606468593666465,Hellersdorf,Marzahn-Hellersdorf,1005,OSM_LOR
3122911182,11004004,Agentur für Arbeit,52.51580090943856,13.280207894467939,Westend,Charlottenburg-Wilmersdorf,0405,OSM_LOR
5682391286,11011011,Jobcenter Berlin-Lichtenberg,52.517978657251184,13.48726012141007,Lichtenberg,Lichtenberg,1103,OSM_LOR
3645868951,11003003,Jobcenter,52.534751568459164,13.454995825958425,Prenzlauer Berg,Pankow,0301,OSM_LOR
5254204307,11006006,Agentur für Arbeit,52.450250561645966,13.316491736703458,Lichterfelde,Steglitz-Zehlendorf,0602,OSM_LOR
4810109365,11005005,Jobcenter Berlin Spandau,52.532796053115774,13.18641751536345,Spandau,Spandau,0501,OSM_LOR
7125464361,11009009,Agentur für Arbeit,52.43517211645556,13.533497310789643,Adlershof,Treptow-Köpenick,0907,OSM_LOR
4490043991,11006006,Jobcenter und Agentur für Arbeit,52.45066978871458,13.357851236067765,Steglitz,Steglitz-Zehlendorf,0601,OSM_LOR
3580091482,11001001,Agentur für Arbeit,52.51005009028481,13.401956593906839,Mitte,Mitte,0101,OSM_LOR
5424095615,11001001,Jobcenter Berlin Mitte,52.54383282221014,13.365057576252475,Wedding,Mitte,0105,OSM_LOR
8034692918,11010010,JobCenter Hellersdorf-Marzahn // Markt und Integration,52.5277494070898,13.520470237215198,Marzahn,Marzahn-Hellersdorf,1001,OSM_LOR
1618091627,11002002,Agentur für Arbeit,52.52437396838755,13.442799574583807,Friedrichshain,Friedrichshain-Kreuzberg,0201,OSM_LOR
