area_id,neighborhood,year,data_type,crime_type_german,crime_type_english,category,value,severity_weight
74007,Tempelhof Nord,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,137.0,1.0
74007,Tempelhof Nord,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,672.0,2.0
74007,Tempelhof Nord,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,351.0,1.5
74007,Tempelhof Nord,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,33.0,3.5
74007,Tempelhof Nord,2019,cases,Raub,Robbery,Violent Crime,19.0,4.0
74007,Tempelhof Nord,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,52.0,4.5
74007,Tempelhof Nord,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,11.0,4.5
74007,Tempelhof Nord,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,919.0,2.0
74007,Tempelhof Nord,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,192.0,2.5
74007,Tempelhof Nord,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,2764.0,1.0
74007,Tempelhof Nord,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,35.0,3.0
74007,Tempelhof Nord,2019,frequency,Brand- stiftung,Arson,Property Crime,11.0,4.5
74007,Tempelhof Nord,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,88.0,4.0
74007,Tempelhof Nord,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,1332.0,3.5
74007,Tempelhof Nord,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,886.0,1.5
74007,Tempelhof Nord,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,407.0,3.0
74007,Tempelhof Nord,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,1018.0,2.5
74007,Tempelhof Nord,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,754.0,1.0
74007,Tempelhof Nord,2019,frequency,Kieztaten,Neighborhood Crimes,Public Order,3699.0,2.0
74007,Tempelhof Nord,2019,frequency,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,1932.0,1.5
74007,Tempelhof Nord,2019,frequency,Wohnraum- einbruch,Residential Burglary,Property Crime,182.0,3.5
74007,Tempelhof Nord,2019,frequency,Raub,Robbery,Violent Crime,105.0,4.0
74007,Tempelhof Nord,2019,frequency,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,286.0,4.5
74007,Tempelhof Nord,2019,frequency,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,61.0,4.5
74007,Tempelhof Nord,2019,frequency,Diebstahl -insgesamt-,Theft Total,Property Crime,5058.0,2.0
74007,Tempelhof Nord,2019,frequency,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,1057.0,2.5
74007,Tempelhof Nord,2019,frequency,Straftaten -insgesamt-,Total Crimes,Overall,15213.0,1.0
74007,Tempelhof Nord,2019,frequency,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,193.0,3.0
74008,Tempelhof Südwest,2019,cases,Brand- stiftung,Arson,Property Crime,8.0,4.5
74008,Tempelhof Südwest,2019,cases,Branddelikte -insgesamt-,Arson Total,Property Crime,19.0,4.0
74008,Tempelhof Südwest,2019,cases,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,342.0,3.5
74008,Tempelhof Südwest,2019,cases,Fahrrad- diebstahl,Bicycle Theft,Property Crime,141.0,1.5
74008,Tempelhof Südwest,2019,cases,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,157.0,3.0
74008,Tempelhof Südwest,2019,cases,Rauschgift-delikte,Drug Crimes,Drug Offense,60.0,2.5
74008,Tempelhof Südwest,2019,cases,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,108.0,1.0
74008,Tempelhof Südwest,2019,cases,Kieztaten,Neighborhood Crimes,Public Order,805.0,2.0
74008,Tempelhof Südwest,2019,cases,Sach-beschädigung -insgesamt-,Property Damage Total,Property Crime,330.0,1.5
74008,Tempelhof Südwest,2019,cases,Wohnraum- einbruch,Residential Burglary,Property Crime,90.0,3.5
74008,Tempelhof Südwest,2019,cases,Raub,Robbery,Violent Crime,22.0,4.0
74008,Tempelhof Südwest,2019,cases,Gefährl. und schwere Körper-verletzung,Serious Assault,Violent Crime,69.0,4.5
74008,Tempelhof Südwest,2019,cases,"Straßenraub, Handtaschen-raub",Street Robbery,Violent Crime,8.0,4.5
74008,Tempelhof Südwest,2019,cases,Diebstahl -insgesamt-,Theft Total,Property Crime,1502.0,2.0
74008,Tempelhof Südwest,2019,cases,Diebstahl an/aus Kfz,Theft from Vehicles,Property Crime,268.0,2.5
74008,Tempelhof Südwest,2019,cases,Straftaten -insgesamt-,Total Crimes,Overall,3564.0,1.0
74008,Tempelhof Südwest,2019,cases,Diebstahl von Kraftwagen,Vehicle Theft,Property Crime,48.0,3.0
74008,Tempelhof Südwest,2019,frequency,Brand- stiftung,Arson,Property Crime,25.0,4.5
74008,Tempelhof Südwest,2019,frequency,Branddelikte -insgesamt-,Arson Total,Property Crime,59.0,4.0
74008,Tempelhof Südwest,2019,frequency,Körper-verletzungen -insgesamt-,Assault Total,Violent Crime,1069.0,3.5
74008,Tempelhof Südwest,2019,frequency,Fahrrad- diebstahl,Bicycle Theft,Property Crime,441.0,1.5
74008,Tempelhof Südwest,2019,frequency,"Freiheits-beraubung, Nötigung, Bedrohung, Nachstellung",Coercion and Threats,Violent Crime,491.0,3.0
74008,Tempelhof Südwest,2019,frequency,Rauschgift-delikte,Drug Crimes,Drug Offense,188.0,2.5
74008,Tempelhof Südwest,2019,frequency,Sach-beschädigung durch Graffiti,Graffiti Vandalism,Property Crime,338.0,1.0
